States,Latitude,Longitude
Aguascalientes ,21.87945992,-102.2904135
Baja California ,30.76405113,-116.0092603
Baja California Sur ,26.01333335,-111.3516635
Campeche ,18.65365928,-91.82448019
Chiapas ,16.74999697,-92.63337447
Chihuahua ,26.93335472,-105.6666358
Coahuila ,28.32998781,-100.8499789
Colima ,18.92038129,-103.8799748
Distrito Federal ,19.44244244,-99.1309882
Durango ,25.57005292,-103.5000238
Guanajuato ,20.67001609,-101.4999909
Guerrero ,17.54997398,-99.5000096
Hidalgo ,20.17043418,-98.73003076
Jalisco ,19.77001935,-104.3699966
Mexico ,19.41001548,-99.02998661
Michoacan ,19.67997316,-100.569996
Morelos ,18.92110476,-99.23999964
Nayarit ,21.81999758,-105.2200481
Nuevo Leon ,25.1899986,-99.83998885
Oaxaca ,16.42999066,-95.01999882
Puebla ,18.90002077,-98.44999618
Queretaro ,20.37998212,-100.0000308
Quintana Roo ,21.20839057,-86.7114549
San Luis Potosi ,22.00001243,-99.66999923
Sinaloa ,23.19999086,-106.2300381
Sonora ,27.58000775,-109.9299931
Tabasco ,18.40002545,-93.22997888
Tamaulipas ,22.73335268,-98.95001734
Tlaxcala ,19.31999514,-98.2300096
Veracruz ,17.93997601,-94.73999007
Yucatan ,21.09998985,-89.27998743
Zacatecas ,22.35001691,-102.88001
